index_a,index_b,tag
0,3736,exact
2,3755,exact
5,3879,partiel
6,8,exact
6,3691,exact
7,2881,partiel
7,3758,partiel
7,3858,partiel
7,6456,partiel
7,8542,partiel
8,3715,exact
9,13,exact
9,3768,exact
11,3714,exact
12,3764,exact
13,3702,partiel
14,115,partiel
15,3742,exact
16,3717,exact
17,3721,exact
18,3708,exact
18,3767,exact
19,3726,exact
20,3761,exact
21,100,partiel
22,3765,exact
24,3706,exact
26,3842,exact
26,4550,partiel
26,8474,partiel
27,3713,exact
28,3840,exact
29,35,exact
29,110,partiel
29,3816,partiel
29,6460,partiel
30,3860,partiel
31,3725,exact
32,43,partiel
33,3744,exact
34,4,exact
34,3897,exact
35,3745,exact
35,5998,partiel
36,3757,partiel
36,3875,partiel
37,39,exact
37,3690,exact
39,41,exact
39,3688,exact
40,43,exact
41,3705,exact
43,3738,exact
45,3811,partiel
48,3735,exact
50,3729,exact
51,3741,exact
52,3906,partiel
53,43,partiel
54,6457,partiel
56,3737,partiel
57,3694,partiel
57,4174,partiel
57,5179,partiel
58,3733,exact
61,3724,exact
62,3763,exact
63,18,exact
63,3740,exact
66,3707,exact
67,2458,partiel
67,5359,partiel
67,6221,partiel
67,7396,partiel
67,8561,partiel
69,3716,exact
70,43,exact
73,115,partiel
74,3748,partiel
75,3770,exact
76,3697,partiel
76,3893,exact
79,3881,exact
80,3756,exact
81,3709,exact
83,3751,exact
84,1965,exact
85,3697,exact
85,3893,partiel
86,3718,exact
87,3722,partiel
89,3760,exact
90,3696,exact
90,3766,exact
90,3825,exact
90,6242,exact
91,3753,exact
92,115,exact
93,3769,exact
96,43,partiel
97,3731,exact
98,3746,partiel
99,3815,partiel
102,103,exact
107,3752,exact
108,35,partiel
108,110,exact
108,3816,partiel
108,6460,partiel
109,3701,exact
110,3695,partiel
111,3693,exact
113,3727,exact
114,3704,exact
115,3750,exact
116,5792,partiel
116,6458,partiel
116,8609,partiel
117,3759,exact
118,3697,partiel
118,3893,partiel
119,3734,exact
120,7116,exact
121,126,exact
121,1891,exact
121,2095,partiel
121,3866,partiel
121,4680,exact
121,5095,exact
121,8074,partiel
121,8260,partiel
121,8566,partiel
122,947,exact
122,7280,exact
122,7747,partiel
123,2680,exact
123,5219,partiel
124,129,exact
125,130,exact
126,131,exact
127,3814,exact
128,145,partiel
128,2810,exact
129,132,exact
130,133,exact
131,2491,exact
132,138,exact
133,139,exact
134,689,exact
135,141,exact
135,757,partiel
135,2040,partiel
136,2719,exact
137,1626,exact
137,4092,partiel
138,142,exact
139,642,exact
140,2307,exact
141,144,exact
142,145,exact
142,2810,partiel
142,4213,partiel
143,146,exact
144,1814,exact
144,4638,exact
144,6179,exact
146,147,exact
146,1501,partiel
146,2844,exact
146,2865,exact
146,3475,partiel
146,4866,partiel
146,5210,partiel
146,7309,partiel
146,7828,partiel
146,7976,partiel
146,8211,partiel
146,8216,partiel
146,8262,partiel
146,8302,partiel
148,1033,exact
148,6738,exact
149,3804,exact
150,148,exact
150,1466,exact
150,6772,exact
151,150,exact
152,151,exact
152,7590,partiel
153,152,exact
154,153,exact
154,1650,exact
155,154,exact
156,155,exact
157,156,exact
158,157,exact
158,973,exact
158,2320,exact
158,2874,exact
158,3032,partiel
158,5575,exact
158,6048,exact
158,7488,partiel
158,7496,exact
158,8697,partiel
159,7580,partiel
160,161,exact
161,1936,exact
161,3441,partiel
161,3891,partiel
161,5420,exact
161,7254,exact
161,7527,partiel
161,8147,partiel
161,8611,partiel
162,164,exact
163,1604,exact
164,3280,partiel
164,5545,exact
165,1910,exact
166,1351,exact
166,7441,partiel
166,8377,exact
167,2532,partiel
168,168,exact
169,170,exact
169,5330,exact
169,6731,exact
169,6791,partiel
170,171,exact
170,7475,partiel
171,173,exact
172,174,exact
173,736,exact
175,178,exact
176,1112,partiel
177,201,exact
177,7629,partiel
178,179,exact
179,181,exact
179,7051,partiel
180,2331,exact
181,182,exact
182,183,exact
183,184,exact
184,186,exact
185,1058,exact
185,2836,exact
185,3184,partiel
185,3374,partiel
185,5677,exact
185,8305,partiel
186,188,exact
187,1010,exact
187,2017,exact
188,189,exact
189,190,exact
189,3177,exact
191,191,exact
192,192,exact
193,193,exact
194,194,exact
194,3208,partiel
195,195,exact
196,197,exact
197,199,exact
198,2653,exact
199,203,exact
200,3883,exact
201,2867,exact
201,3900,exact
202,208,exact
203,2305,exact
204,209,exact
205,210,exact
206,2013,exact
206,2193,partiel
207,3850,exact
208,213,exact
208,7796,partiel
209,1449,exact
210,215,exact
211,218,exact
211,1086,partiel
212,221,exact
213,224,exact
213,3612,partiel
214,225,exact
214,1725,exact
214,2255,exact
214,7313,partiel
214,7595,exact
214,7806,exact
214,7994,partiel
215,2175,exact
216,8356,partiel
217,227,exact
218,229,exact
219,787,exact
220,233,exact
221,235,exact
222,236,exact
223,2032,exact
223,3527,partiel
223,3867,exact
224,2300,exact
225,238,exact
226,2076,exact
227,239,exact
228,1206,partiel
229,1371,exact
229,3978,partiel
230,706,partiel
230,2403,exact
230,3549,exact
230,5672,partiel
230,6018,partiel
231,241,exact
232,2515,exact
233,242,exact
234,2021,exact
235,2597,exact
236,7551,exact
237,7259,partiel
238,1277,exact
238,3905,exact
239,243,exact
240,7763,partiel
241,244,exact
242,245,exact
243,248,exact
243,3994,partiel
243,7754,partiel
244,2818,exact
245,249,exact
246,251,exact
248,7513,partiel
249,7774,partiel
250,253,exact
250,4664,exact
251,254,exact
252,256,exact
252,6164,partiel
252,7631,partiel
253,2648,exact
253,8398,partiel
254,847,partiel
255,793,exact
256,258,exact
256,6698,exact
257,260,exact
258,1544,exact
259,262,exact
259,893,exact
260,889,partiel
261,1094,exact
262,1979,exact
262,3444,partiel
262,5961,partiel
262,7031,partiel
263,268,exact
264,269,exact
264,4503,partiel
265,7212,exact
266,1633,exact
266,2722,partiel
266,2973,exact
266,5991,exact
267,272,exact
268,273,exact
269,7184,exact
270,280,exact
270,6314,partiel
271,1123,partiel
271,7788,partiel
272,281,exact
273,2236,exact
274,6218,exact
275,283,exact
276,1085,partiel
277,580,exact
278,3037,partiel
278,7466,partiel
279,286,exact
280,287,exact
281,288,exact
282,290,exact
282,953,exact
282,1260,exact
282,5313,partiel
283,1197,partiel
283,2039,partiel
283,2304,partiel
283,2782,exact
283,2915,partiel
283,3059,partiel
283,3421,partiel
283,3629,partiel
283,4357,partiel
283,5203,partiel
283,5994,partiel
283,6028,partiel
283,6539,partiel
283,6854,partiel
283,7096,partiel
283,7314,partiel
283,7906,partiel
283,8028,partiel
283,8231,partiel
283,8236,partiel
283,8239,partiel
283,8321,partiel
283,8589,partiel
284,293,exact
284,2150,exact
284,6787,partiel
285,294,exact
286,1279,exact
288,295,exact
289,296,exact
290,298,exact
290,3664,partiel
290,7258,partiel
291,299,exact
292,1562,partiel
293,300,exact
294,302,exact
295,728,exact
295,3420,partiel
295,6244,partiel
295,7431,partiel
296,305,exact
297,308,exact
298,2338,exact
298,3742,exact
299,819,exact
300,311,exact
300,4150,partiel
301,3803,exact
302,794,partiel
302,1074,partiel
302,1189,partiel
302,1200,partiel
302,1711,partiel
302,1746,partiel
302,1764,partiel
302,2092,partiel
302,2265,partiel
302,2677,partiel
302,2800,partiel
302,4358,partiel
302,4480,partiel
302,4514,partiel
302,4515,partiel
302,4704,partiel
302,4712,partiel
302,4817,partiel
302,4958,partiel
302,4973,partiel
302,5190,partiel
302,5626,partiel
302,5734,partiel
302,5740,partiel
302,5746,partiel
302,5774,partiel
302,5779,partiel
302,5783,partiel
302,5789,partiel
302,5802,partiel
302,5840,partiel
302,5845,partiel
302,5848,partiel
302,5990,partiel
302,6231,partiel
302,6309,partiel
302,6475,partiel
302,6546,partiel
302,6669,partiel
302,6733,partiel
302,8376,partiel
302,8407,partiel
303,2803,exact
304,1512,exact
304,4629,exact
305,344,partiel
305,553,partiel
305,2625,partiel
306,317,exact
307,318,exact
308,2775,partiel
309,1952,partiel
310,319,exact
311,1629,partiel
312,3849,exact
312,3947,partiel
313,320,exact
313,2434,exact
313,5417,partiel
314,321,exact
315,2616,exact
315,2888,exact
315,7185,exact
315,7696,partiel
316,1789,exact
317,2753,exact
317,4573,exact
317,6058,exact
318,324,exact
